,IA_LABEL,IA_ID,IA_LEFT,IA_TOP,batch,article_id,paragraph_id,level,RECORDING_SESSION_LABEL,TRIAL_INDEX,trial,list,has_preview,article_ind
286,honey-flavored,47,358,492,2,8,2,Ele,l44_312,4,4,44,0,1
287,100sq-meter,43,358,492,2,6,2,Adv,l44_312,21,20,44,0,4
288,100sq-meter,43,358,492,2,6,2,Adv,l36_280,4,4,36,0,1
289,honey-flavored,47,358,492,2,8,2,Ele,l36_280,24,19,36,0,4
290,film-makers.,16,358,264,2,8,6,Adv,l39_299,19,19,39,0,3
291,post-genocide,32,358,378,2,8,6,Adv,l39_299,19,19,39,0,3
292,film-editing,95,358,834,2,8,6,Adv,l39_299,19,19,39,0,3
293,deep-fried,17,358,264,2,10,2,Adv,l39_299,31,30,39,0,6
294,100sq-meter,43,358,492,2,6,2,Adv,l42_308,4,4,42,0,1
295,honey-flavored,47,358,492,2,8,2,Ele,l42_308,14,14,42,0,3
296,honey-flavored,47,358,492,2,8,2,Ele,l40_300,21,18,40,0,4
297,100sq-meter,43,358,492,2,6,2,Adv,l40_300,45,42,40,0,8
298,honey-flavored,47,358,492,2,8,2,Ele,l38_282,4,4,38,0,1
299,100sq-meter,43,358,492,2,6,2,Adv,l38_282,21,20,38,0,4
300,film-makers.,16,358,264,2,8,6,Adv,l33_276,54,42,33,0,7
301,post-genocide,32,358,378,2,8,6,Adv,l33_276,54,42,33,0,7
302,film-editing,95,358,834,2,8,6,Adv,l33_276,54,42,33,0,7
303,deep-fried,17,358,264,2,10,2,Adv,l33_276,68,54,33,0,10
304,deep-fried,17,358,264,2,10,2,Adv,l47_319,27,27,47,0,5
305,film-makers.,16,358,264,2,8,6,Adv,l47_319,41,41,47,0,7
306,post-genocide,32,358,378,2,8,6,Adv,l47_319,41,41,47,0,7
307,film-editing,95,358,834,2,8,6,Adv,l47_319,41,41,47,0,7
308,honey-flavored,47,358,492,2,8,2,Ele,l46_317,29,21,46,0,4
309,100sq-meter,43,358,492,2,6,2,Adv,l46_317,57,43,46,0,8
310,deep-fried,17,358,264,2,10,2,Adv,l35_278,21,20,35,0,4
311,film-makers.,16,358,264,2,8,6,Adv,l35_278,35,34,35,0,6
312,post-genocide,32,358,378,2,8,6,Adv,l35_278,35,34,35,0,6
313,film-editing,95,358,834,2,8,6,Adv,l35_278,35,34,35,0,6
314,deep-fried,17,358,264,2,10,2,Adv,l43_310,9,8,43,0,2
315,film-makers.,16,358,264,2,8,6,Adv,l43_310,18,16,43,0,3
316,post-genocide,32,358,378,2,8,6,Adv,l43_310,18,16,43,0,3
317,film-editing,95,358,834,2,8,6,Adv,l43_310,18,16,43,0,3
318,honey-flavored,47,358,492,2,8,2,Ele,l34_277,27,25,34,0,5
319,100sq-meter,43,358,492,2,6,2,Adv,l34_277,59,54,34,0,10
320,deep-fried,17,358,264,2,10,2,Adv,l41_303,19,16,41,0,3
321,film-makers.,16,358,264,2,8,6,Adv,l41_303,33,28,41,0,5
322,post-genocide,32,358,378,2,8,6,Adv,l41_303,33,28,41,0,5
323,film-editing,95,358,834,2,8,6,Adv,l41_303,33,28,41,0,5
